N,P,K,temperature,humidity,ph,rainfall,label
26.39,75.74,18.47,20.79,45.0,5.06,111.5,pigeonpeas
33.9,51.52,25.46,22.38,45.14,6.59,145.05,pigeonpeas
22.53,59.47,26.12,19.62,42.85,5.16,158.02,pigeonpeas
27.5,65.28,15.52,22.17,48.56,6.55,169.09,pigeonpeas
32.14,79.0,16.26,25.82,41.98,5.81,178.82,pigeonpeas
34.74,71.01,28.35,26.19,44.57,5.28,179.18,pigeonpeas
28.98,65.61,26.82,26.73,47.16,5.95,102.43,pigeonpeas
27.84,55.17,19.7,24.3,49.27,6.16,141.26,pigeonpeas
17.06,50.74,23.97,22.03,40.6,5.24,186.87,pigeonpeas
29.44,59.39,16.79,17.84,48.74,6.95,124.18,pigeonpeas
28.88,73.11,17.85,20.02,40.43,6.63,129.45,pigeonpeas
17.18,51.93,27.47,26.16,41.3,5.93,146.65,pigeonpeas
20.3,77.89,22.59,23.38,48.9,6.5,148.96,pigeonpeas
22.15,72.93,19.03,21.0,44.94,5.85,113.87,pigeonpeas
23.14,76.66,18.73,26.24,46.74,6.89,134.86,pigeonpeas
34.69,66.69,20.75,18.57,45.0,6.18,186.14,pigeonpeas
27.1,50.71,22.48,22.3,48.55,6.77,133.62,pigeonpeas
31.19,69.19,25.3,25.48,44.93,5.54,158.03,pigeonpeas
26.37,50.85,17.96,24.28,44.56,5.29,184.42,pigeonpeas
30.16,57.6,23.69,26.06,40.18,5.42,162.81,pigeonpeas
20.44,52.87,17.84,20.93,47.19,5.46,113.26,pigeonpeas
19.22,72.14,22.02,24.26,49.17,5.94,169.75,pigeonpeas
18.74,58.91,24.03,19.37,49.39,6.89,120.52,pigeonpeas
25.58,53.03,19.86,19.79,47.09,4.99,135.34,pigeonpeas
31.32,81.75,25.57,24.75,49.91,5.03,167.38,pigeonpeas
26.44,65.69,17.01,24.04,42.86,5.09,196.29,pigeonpeas
22.99,76.38,23.26,24.38,48.47,5.5,172.5,pigeonpeas
32.18,51.75,15.24,24.09,43.24,6.82,149.99,pigeonpeas
25.53,68.74,22.66,22.08,44.07,5.38,107.11,pigeonpeas
26.26,58.77,23.23,19.39,40.31,6.76,174.97,pigeonpeas
32.68,74.49,25.36,20.17,43.53,5.15,165.34,pigeonpeas
26.36,79.44,15.42,25.51,44.26,5.44,162.55,pigeonpeas
16.76,65.68,28.15,26.32,44.05,6.0,123.85,pigeonpeas
26.97,67.2,21.57,23.14,48.16,5.53,143.19,pigeonpeas
35.18,75.91,25.96,23.62,48.65,6.73,124.21,pigeonpeas
32.11,64.1,17.17,24.22,47.19,6.84,153.79,pigeonpeas
27.14,59.2,22.86,18.87,47.82,6.63,164.06,pigeonpeas
23.16,68.61,23.67,19.14,43.38,6.17,163.36,pigeonpeas
29.61,69.62,21.6,21.14,44.31,5.21,173.51,pigeonpeas
34.66,57.32,19.57,18.64,48.77,6.11,131.38,pigeonpeas
25.19,57.9,16.53,21.11,49.48,5.7,194.2,pigeonpeas
30.24,71.65,24.75,25.55,44.96,6.49,142.32,pigeonpeas
35.05,63.26,20.62,24.81,46.24,6.65,146.1,pigeonpeas
23.25,80.23,26.07,24.28,46.91,6.61,101.57,pigeonpeas
28.74,76.46,20.59,18.43,45.32,6.52,143.5,pigeonpeas
26.14,52.32,21.41,21.39,42.46,5.34,152.22,pigeonpeas
25.23,74.72,20.12,24.96,44.23,5.52,166.16,pigeonpeas
29.23,56.65,27.32,23.27,47.53,5.95,131.26,pigeonpeas
18.61,60.63,16.37,18.66,47.25,6.01,164.93,pigeonpeas
33.21,62.09,28.53,25.03,42.22,5.4,147.75,pigeonpeas
17.84,65.02,28.04,25.97,43.99,5.25,167.89,pigeonpeas
30.15,64.9,27.89,25.8,47.25,6.83,131.68,pigeonpeas
33.3,71.58,17.53,25.18,43.49,5.79,154.22,pigeonpeas
17.75,57.58,19.96,26.19,49.98,5.35,128.89,pigeonpeas
25.9,65.51,21.65,25.11,44.11,5.45,169.57,pigeonpeas
24.62,77.37,15.57,22.46,41.21,4.98,193.02,pigeonpeas
60.05,46.62,40.8,24.14,83.19,6.29,155.4,jute
66.34,39.55,46.86,26.88,88.5,6.65,181.07,jute
61.13,47.93,44.86,25.6,82.25,6.48,179.21,jute
69.46,44.09,47.19,25.56,83.33,6.06,187.19,jute
73.03,46.08,43.76,28.63,84.43,6.93,156.03,jute
73.53,40.72,42.54,29.45,80.96,6.11,184.38,jute
61.96,37.44,48.02,27.09,86.35,6.28,190.37,jute
65.04,47.53,39.12,28.27,88.82,6.51,159.67,jute
73.61,43.61,37.9,26.12,83.38,6.6,159.39,jute
75.62,44.03,48.24,24.87,83.8,6.38,195.27,jute
78.27,49.08,44.76,28.52,85.37,6.9,194.86,jute
73.83,42.34,39.45,29.56,89.82,6.9,218.7,jute
68.01,38.73,49.04,27.93,85.14,6.32,230.84,jute
70.82,38.11,38.54,24.64,87.87,6.92,204.48,jute
76.22,41.37,44.93,24.93,84.59,7.01,191.69,jute
68.08,50.17,48.17,27.89,84.42,6.95,181.95,jute
63.32,45.63,49.51,27.84,84.29,7.0,186.51,jute
61.81,42.11,44.59,24.59,88.8,6.68,170.69,jute
65.44,46.89,46.12,24.12,82.34,6.87,170.04,jute
59.35,38.51,39.43,26.43,80.2,6.8,213.28,jute
77.89,36.74,45.95,27.62,83.08,6.51,220.87,jute
63.32,49.19,39.63,25.59,87.26,6.73,243.09,jute
71.16,46.3,40.49,26.98,80.56,6.54,243.71,jute
75.43,44.35,39.67,28.4,86.7,6.62,178.62,jute
68.06,48.89,39.97,28.05,89.3,6.22,188.86,jute
76.71,40.36,41.15,28.82,80.08,6.6,221.79,jute
69.57,40.61,41.62,27.23,80.84,6.54,193.72,jute
71.8,42.88,49.35,28.1,87.4,6.39,187.53,jute
75.9,49.06,41.16,27.85,88.41,6.83,249.34,jute
74.58,42.07,49.02,23.85,87.2,6.08,238.06,jute
76.27,36.8,40.45,27.83,89.44,6.17,225.09,jute
68.95,40.88,39.99,26.23,81.77,6.19,242.81,jute
72.83,47.6,43.97,24.87,84.03,6.49,154.84,jute
65.82,37.95,40.76,25.54,85.34,6.15,181.01,jute
80.04,37.62,39.56,27.52,84.24,6.79,226.3,jute
79.55,43.83,42.63,27.45,82.52,6.21,180.52,jute
74.18,40.62,44.5,27.57,80.59,6.54,224.77,jute
69.49,49.16,47.01,24.5,89.91,6.64,192.81,jute
73.38,37.74,47.94,27.03,84.43,6.62,165.59,jute
66.54,38.06,39.74,29.55,85.23,6.83,174.07,jute
71.44,48.96,48.28,25.18,86.41,6.33,215.38,jute
76.51,44.81,45.81,25.97,90.29,6.51,231.58,jute
64.16,46.06,37.54,25.1,86.9,6.64,176.57,jute
73.18,41.27,45.29,27.44,83.68,6.51,173.84,jute
68.52,42.0,46.62,26.0,80.88,6.87,154.69,jute
62.83,48.86,42.08,29.28,82.22,6.6,183.15,jute
79.31,50.39,40.53,29.04,85.62,6.33,159.08,jute
64.5,38.54,48.06,24.58,87.45,6.52,193.27,jute
68.26,36.93,42.33,27.96,80.46,6.47,169.25,jute
67.94,46.25,46.4,25.58,88.72,6.32,233.08,jute
62.01,41.83,48.48,26.6,89.25,6.35,155.03,jute
76.1,40.76,41.48,28.14,82.28,5.97,157.55,jute
62.29,49.02,38.49,27.47,87.07,6.64,227.84,jute
80.39,38.59,46.3,26.55,79.99,6.56,164.06,jute
79.55,36.93,39.72,24.52,82.6,6.62,163.95,jute
75.82,36.37,48.93,27.18,86.18,6.85,176.56,jute
67.81,46.8,47.84,26.1,83.18,6.42,233.5,jute
70.4,43.74,43.75,28.27,86.26,6.06,182.04,jute
70.67,42.1,49.54,27.93,81.75,6.65,206.55,jute
78.7,47.14,48.04,24.63,83.14,6.89,245.98,jute
61.45,40.89,46.45,27.08,84.23,6.07,199.06,jute
67.49,48.45,39.67,27.7,89.53,6.65,222.44,jute
63.53,42.52,46.91,26.58,89.77,6.61,186.58,jute
63.47,42.44,48.6,27.24,86.37,6.63,187.31,jute
77.17,44.55,43.15,27.27,87.98,6.42,227.16,jute
63.32,37.95,39.32,28.19,83.09,6.74,190.42,jute
77.49,45.7,45.04,28.37,87.93,6.71,234.44,jute
77.06,39.48,43.66,24.44,86.35,6.88,213.73,jute
63.49,44.69,41.75,24.97,80.2,6.5,244.1,jute
77.2,36.29,46.21,29.39,81.72,6.89,190.07,jute
70.75,48.22,39.57,29.11,82.87,6.91,151.68,jute
65.42,48.62,49.37,25.08,82.89,6.26,185.35,jute
74.02,38.17,43.14,29.85,89.25,6.29,227.46,jute
77.88,42.96,43.64,27.14,82.55,6.92,197.41,jute
68.71,41.98,41.24,25.64,89.94,6.97,224.53,jute
71.27,40.78,45.29,27.0,89.06,6.18,248.67,jute
76.77,43.97,49.4,26.8,84.79,6.55,198.78,jute
80.65,42.44,40.52,25.31,89.14,6.24,176.94,jute
78.63,47.73,49.27,27.88,85.51,6.43,195.61,jute
73.76,38.99,47.82,27.75,88.93,6.76,159.23,jute
72.99,49.59,45.25,25.38,87.29,6.29,234.01,jute
77.86,37.95,40.55,26.46,83.71,6.27,239.12,jute
71.07,39.13,44.76,25.63,79.97,6.04,217.81,jute
63.95,39.66,41.38,25.34,88.68,6.64,161.07,jute
71.84,37.08,47.92,29.82,82.97,6.93,210.54,jute
80.39,43.53,41.83,24.82,81.86,6.93,162.49,jute
69.63,43.9,49.37,26.39,86.36,6.6,168.6,jute
72.81,46.36,44.81,29.51,79.73,6.68,183.16,jute
75.93,47.53,40.39,27.79,86.95,6.17,146.53,jute
67.25,43.86,45.42,26.27,80.07,6.98,178.66,jute
61.11,39.72,46.92,27.38,79.88,6.62,209.62,jute
66.84,38.64,38.2,28.62,82.13,6.72,183.35,jute
67.91,36.72,48.68,25.25,81.97,6.66,216.71,jute
66.43,39.6,47.43,29.63,84.89,6.05,223.7,jute
66.5,49.22,47.07,24.96,86.05,6.25,158.46,jute
64.55,44.67,43.41,25.18,84.26,6.15,184.06,jute
76.44,46.96,49.08,24.06,80.96,6.63,226.39,jute
60.45,36.11,43.36,26.46,80.63,6.8,217.67,jute
67.6,36.44,44.77,26.43,84.72,6.28,201.36,jute
75.24,36.02,41.0,27.49,82.59,6.58,157.49,jute
61.01,48.07,44.25,29.22,89.57,6.41,185.53,jute
62.35,43.98,48.58,27.57,84.91,6.92,199.53,jute
68.52,44.72,40.92,28.2,81.41,6.22,248.28,jute
71.39,38.46,40.99,28.54,81.87,6.04,198.37,jute
63.43,44.75,39.41,26.65,80.61,6.67,176.63,jute
70.3,36.37,42.88,27.52,83.93,6.68,213.21,jute
77.98,48.15,39.11,29.18,85.07,6.32,216.27,jute
63.83,39.88,38.71,24.19,80.79,6.55,219.28,jute
62.23,47.29,40.67,25.6,84.91,6.31,241.09,jute
62.24,48.92,38.88,28.36,85.31,6.32,183.45,jute
74.81,42.09,43.75,27.08,80.1,6.9,170.86,jute
59.99,47.11,40.63,23.78,88.41,6.16,169.36,jute
69.18,48.87,39.61,27.32,86.71,6.3,207.19,jute
80.01,45.43,39.01,28.54,80.24,6.3,209.33,jute
67.69,46.66,40.79,24.48,80.89,6.91,179.11,jute
67.98,37.5,45.68,24.12,88.9,6.97,227.75,jute
73.03,39.22,48.13,25.67,83.43,6.46,213.57,jute
76.12,43.36,46.17,27.05,88.22,6.76,244.93,jute
69.69,38.23,43.06,26.46,87.46,6.66,247.59,jute
70.75,39.23,39.78,28.99,86.61,6.85,210.21,jute
78.97,36.13,38.5,24.82,83.86,6.66,193.25,jute
60.01,41.09,41.28,26.54,81.84,6.18,240.27,jute
65.12,36.81,45.01,29.31,84.8,6.45,170.97,jute
70.99,39.14,44.8,26.32,82.14,6.55,247.88,jute
67.75,46.43,44.28,26.98,89.81,6.05,247.72,jute
61.79,47.68,44.89,26.73,89.07,5.97,213.08,jute
70.69,48.55,40.42,26.51,86.62,6.89,211.86,jute
78.91,40.62,47.17,29.51,82.68,6.5,249.52,jute
61.42,43.01,46.99,27.83,87.88,6.85,203.08,jute
70.07,39.33,48.66,25.9,87.99,6.49,154.62,jute
64.16,46.99,47.46,28.86,87.33,6.82,168.57,jute
71.98,39.09,42.17,24.33,81.11,6.86,201.09,jute
62.85,46.92,44.1,27.88,87.19,6.07,181.62,jute
74.73,42.3,42.59,27.74,89.33,6.74,184.12,jute
69.25,42.02,41.66,30.25,87.06,6.22,227.58,jute
65.74,44.83,44.76,26.96,83.75,6.77,165.55,jute
63.82,44.59,43.44,28.03,81.45,6.82,236.47,jute
69.25,44.19,41.31,25.22,85.36,6.8,180.49,jute
74.71,39.16,46.22,27.13,83.22,6.27,206.94,jute
61.94,36.6,48.54,24.27,86.07,6.29,179.5,jute
78.8,47.47,46.02,28.2,81.12,6.8,216.02,jute
75.15,41.75,42.88,23.94,84.04,6.1,191.11,jute
60.78,40.87,38.63,28.09,86.21,6.8,151.79,jute
63.5,39.52,48.48,25.15,86.88,6.07,245.74,jute
71.36,43.95,49.23,28.44,89.58,6.31,224.56,jute
73.04,36.56,45.91,25.0,84.72,6.0,184.53,jute
73.76,38.04,42.56,28.3,89.26,6.69,193.23,jute
77.79,46.39,48.87,25.48,83.62,6.56,206.29,jute
68.88,38.72,39.66,26.78,80.98,6.35,185.26,jute
63.77,48.73,45.99,25.58,83.78,6.35,213.96,jute
71.07,49.17,44.77,27.63,88.65,6.25,254.36,jute
74.78,42.13,47.38,24.44,84.02,6.73,164.64,jute
77.3,37.09,48.47,25.0,89.14,6.87,162.36,jute
67.41,41.22,48.68,25.57,81.59,6.43,215.71,jute
71.06,44.34,38.96,26.81,84.94,6.19,158.8,jute
76.82,43.29,40.74,26.53,89.89,6.99,250.83,jute
75.61,41.74,49.18,28.88,85.38,6.79,159.01,jute
72.53,43.78,38.72,26.43,85.87,6.85,183.37,jute
75.74,46.62,38.43,28.4,88.07,6.06,159.21,jute
62.69,36.91,41.29,27.54,84.09,6.97,214.14,jute
65.77,48.46,46.35,26.14,83.49,6.59,234.64,jute
63.52,44.32,45.11,25.18,86.46,7.01,156.16,jute
68.13,40.7,42.94,24.69,84.69,6.71,198.92,jute
71.69,42.23,47.32,23.99,82.25,6.48,199.9,jute
67.05,44.5,48.15,29.46,88.35,6.53,220.91,jute
77.36,39.17,49.57,26.51,86.31,6.12,244.0,jute
62.67,49.57,42.33,25.64,86.12,6.07,238.53,jute
63.34,46.88,41.24,29.07,87.17,6.78,240.2,jute
74.66,43.36,39.56,26.93,90.43,6.36,199.37,jute
60.85,43.7,45.0,24.5,86.5,6.63,172.6,jute
73.4,48.35,49.35,26.74,84.17,6.95,220.78,jute
68.88,41.71,46.08,26.41,86.3,6.61,185.64,jute
59.27,46.25,45.35,25.17,83.43,7.0,243.89,jute
71.55,38.93,46.67,25.9,88.91,6.03,241.3,jute
66.48,36.11,42.54,25.06,82.37,6.59,203.89,jute
76.81,37.78,44.44,28.91,81.07,6.73,167.92,jute
69.46,37.01,46.42,28.9,85.62,6.98,162.85,jute
65.72,35.26,43.71,27.99,87.33,6.67,224.97,jute
63.37,40.75,47.58,27.09,84.67,6.4,246.71,jute
74.99,40.29,40.2,29.13,82.93,6.46,155.93,jute
60.87,48.25,42.78,24.65,80.42,6.4,234.83,jute
73.64,44.57,44.01,25.8,87.2,6.25,151.01,jute
70.44,38.44,48.53,27.38,85.48,5.99,167.44,jute
64.79,41.27,42.82,26.7,82.89,6.63,211.15,jute
69.87,42.77,45.13,25.43,83.01,6.42,226.49,jute
63.15,44.71,47.01,27.28,84.27,6.92,205.8,jute
69.1,43.65,42.05,24.84,89.9,6.05,215.86,jute
66.39,35.6,40.34,26.38,87.49,6.34,161.25,jute
69.12,49.09,44.06,24.42,83.19,6.09,183.28,jute
68.23,45.24,46.37,24.54,82.16,6.18,160.56,jute
71.38,48.87,41.74,24.37,88.62,6.4,186.34,jute
78.72,41.28,41.13,26.51,81.78,7.04,241.11,jute
64.48,47.44,39.14,28.33,82.31,6.02,173.55,jute
74.56,38.2,39.45,24.48,85.17,6.44,193.67,jute
65.11,37.87,45.27,28.22,89.48,6.23,240.68,jute
79.83,46.44,39.0,28.65,80.72,6.16,157.84,jute
71.98,47.33,39.06,24.26,89.63,6.28,148.74,jute
63.03,48.31,48.11,29.99,80.37,6.17,228.1,jute
78.09,45.95,46.16,27.4,85.16,6.52,212.61,jute
73.2,45.77,37.82,24.73,84.69,6.9,237.76,jute
107.57,37.04,48.49,28.55,80.59,6.59,64.21,cotton
97.11,36.72,43.26,30.39,77.76,5.9,97.53,cotton
108.43,43.14,45.14,23.22,78.3,7.1,69.01,cotton
111.06,44.82,41.28,29.43,77.6,6.55,90.32,cotton
119.88,47.8,42.48,21.98,81.33,7.14,81.71,cotton
108.15,45.66,44.01,27.6,78.7,6.41,88.96,cotton
104.02,46.41,40.18,23.6,78.54,7.04,67.05,cotton
99.18,47.11,40.4,28.26,76.55,6.31,65.04,cotton
99.81,49.02,41.69,23.84,82.04,8.04,88.71,cotton
107.78,36.72,41.11,22.34,80.38,7.82,83.49,cotton
112.79,41.3,43.57,26.82,78.69,7.07,95.88,cotton
107.4,44.43,38.1,24.85,78.19,6.15,83.07,cotton
119.91,47.51,41.33,25.02,84.11,7.17,82.32,cotton
99.73,41.22,39.3,23.89,83.99,7.46,98.45,cotton
108.13,44.3,45.05,25.21,84.89,5.89,81.81,cotton
108.12,47.82,42.78,22.7,75.63,7.73,90.7,cotton
95.74,47.41,49.75,21.54,81.1,6.38,76.55,cotton
118.21,46.22,49.69,21.32,85.1,6.17,93.95,cotton
96.99,44.58,49.05,21.7,83.25,7.06,68.0,cotton
119.12,41.55,45.67,25.74,82.84,7.46,79.44,cotton
108.2,44.14,40.98,28.04,83.36,6.88,70.54,cotton
116.52,49.57,42.17,20.68,76.75,7.47,90.57,cotton
94.65,42.47,46.45,26.08,76.75,6.14,86.11,cotton
104.69,37.97,39.58,25.33,82.08,6.27,81.9,cotton
96.43,46.98,41.34,29.19,76.3,5.87,100.83,cotton
110.62,36.75,38.92,27.37,79.18,7.02,90.72,cotton
98.83,36.21,41.91,23.53,78.5,7.84,87.69,cotton
113.15,38.06,47.85,23.35,77.7,6.78,71.38,cotton
115.03,36.78,42.87,23.6,75.9,7.83,66.59,cotton
98.28,46.43,41.91,22.22,77.77,7.03,61.24,cotton
104.01,40.0,49.44,22.45,77.48,6.72,73.5,cotton
97.42,38.61,49.99,22.14,80.08,7.79,70.83,cotton
115.16,40.02,44.71,25.99,82.75,7.13,73.03,cotton
108.21,50.28,48.67,27.47,84.85,6.37,75.91,cotton
110.05,47.53,47.4,21.37,78.49,6.67,98.83,cotton
99.29,39.2,48.47,21.14,83.7,7.45,92.15,cotton
117.15,48.18,39.94,27.56,77.95,7.21,99.03,cotton
108.4,44.84,44.58,25.26,79.56,7.38,85.09,cotton
114.14,39.93,40.59,27.79,84.6,5.88,86.81,cotton
114.43,50.2,44.95,25.9,78.59,6.49,75.48,cotton
111.97,43.02,39.54,21.97,81.07,7.53,63.23,cotton
107.32,46.91,42.08,26.12,79.73,8.0,90.71,cotton
112.31,38.01,49.71,25.1,83.87,6.26,85.53,cotton
103.53,44.77,40.57,23.85,82.03,5.91,73.6,cotton
95.7,45.78,42.45,26.96,82.08,6.48,72.77,cotton
111.21,47.96,49.33,26.0,83.49,7.91,83.62,cotton
116.59,37.0,42.15,26.13,78.79,6.68,87.13,cotton
116.15,42.54,40.74,24.69,76.37,5.86,84.92,cotton
115.37,46.26,42.55,22.09,83.04,6.74,93.18,cotton
110.64,47.53,43.53,29.19,81.37,7.03,81.36,cotton
106.03,40.93,45.5,26.39,76.0,6.74,74.11,cotton
119.73,43.15,41.11,26.43,77.79,6.27,82.72,cotton
119.47,49.72,43.3,24.78,82.79,5.77,64.05,cotton
102.08,39.89,48.07,22.79,84.41,7.19,65.32,cotton
110.29,43.6,49.18,20.69,75.2,7.64,91.44,cotton
118.3,41.97,41.71,22.9,78.88,7.36,59.87,cotton
107.43,48.42,46.21,20.8,78.44,7.29,81.68,cotton
106.98,45.49,46.84,20.06,82.35,8.0,78.46,cotton
108.37,39.57,38.86,24.02,79.71,7.03,95.41,cotton
94.99,48.22,47.58,23.92,81.81,6.2,97.73,cotton
98.96,48.58,43.39,28.33,78.54,5.96,68.09,cotton
119.18,48.53,48.61,22.6,82.4,6.55,96.1,cotton
108.33,49.04,45.01,21.2,83.88,6.51,72.8,cotton
97.96,45.48,44.57,21.67,82.05,7.24,91.25,cotton
112.29,45.24,42.56,23.43,83.63,6.38,80.68,cotton
105.25,39.98,47.67,28.04,80.27,6.77,93.24,cotton
112.25,48.35,42.5,23.55,82.2,7.58,79.1,cotton
102.19,36.38,45.04,27.81,81.61,7.24,87.2,cotton
105.5,45.83,39.71,23.19,82.13,5.97,86.26,cotton
95.03,38.67,48.78,28.57,75.03,6.01,80.85,cotton
103.21,37.23,39.18,22.62,76.06,6.67,99.13,cotton
105.39,38.99,46.49,20.14,75.73,6.57,75.23,cotton
96.05,43.34,46.01,26.74,77.23,5.93,70.36,cotton
118.92,44.36,39.96,24.09,75.44,6.79,73.85,cotton
109.17,45.98,41.43,20.33,78.91,6.71,95.47,cotton
96.28,42.03,47.51,24.93,75.79,7.22,70.76,cotton
111.55,38.33,42.18,24.54,84.71,7.9,90.8,cotton
113.66,41.63,44.52,24.86,84.77,7.3,70.02,cotton
113.39,41.04,50.34,24.75,82.36,7.37,95.43,cotton
104.5,40.39,46.93,27.06,75.03,5.86,85.19,cotton
97.61,40.43,43.31,24.26,76.45,6.44,68.95,cotton
112.83,38.81,45.06,23.59,80.83,7.66,99.17,cotton
102.34,39.3,46.28,30.09,83.08,6.27,63.57,cotton
110.38,44.16,47.45,28.89,81.65,7.43,90.31,cotton
110.77,36.43,43.36,26.1,76.88,6.52,95.99,cotton
109.99,44.17,39.98,27.74,78.9,6.17,75.76,cotton
95.88,38.64,49.51,24.51,84.82,6.01,78.57,cotton
94.91,48.51,47.43,28.26,77.86,7.38,91.85,cotton
107.84,38.87,44.95,26.2,79.4,6.48,97.2,cotton
107.49,36.6,42.8,24.1,80.29,7.52,66.63,cotton
112.13,38.45,47.38,28.35,75.81,7.14,97.08,cotton
100.11,48.89,45.79,26.07,83.88,6.11,73.9,cotton
106.29,36.36,42.4,26.74,81.39,7.27,87.91,cotton
119.63,48.81,41.5,27.92,83.1,7.8,88.52,cotton
94.25,38.24,45.19,26.84,83.1,6.46,83.9,cotton
119.0,48.69,42.83,26.63,80.13,6.64,68.09,cotton
110.09,42.5,45.2,29.2,76.41,6.63,97.81,cotton
114.6,47.51,44.77,22.89,81.73,6.61,64.45,cotton
101.83,49.25,48.51,20.38,77.16,6.47,66.6,cotton
117.65,47.08,41.26,26.9,75.12,7.83,99.62,cotton
102.88,43.11,46.12,22.02,84.15,6.02,94.19,cotton
107.88,44.67,38.95,20.85,79.38,6.88,92.1,cotton
101.59,49.98,39.6,21.01,77.48,6.07,97.91,cotton
104.1,46.43,41.21,28.73,81.42,7.55,74.5,cotton
113.89,40.2,38.93,26.82,81.36,7.05,72.28,cotton
102.47,41.98,48.25,24.98,76.44,6.9,73.99,cotton
103.98,47.3,43.68,24.86,75.09,7.55,82.64,cotton
100.29,45.89,39.3,24.6,75.1,5.94,70.43,cotton
106.69,44.62,42.7,29.24,78.39,7.87,99.96,cotton
99.42,48.26,45.81,22.37,77.82,6.95,88.6,cotton
97.19,45.33,40.67,25.98,75.77,6.31,83.0,cotton
107.51,45.57,45.03,22.74,79.74,6.19,78.97,cotton
101.48,38.56,49.36,24.26,83.07,6.07,89.28,cotton
95.68,39.1,48.06,24.99,78.31,7.5,64.3,cotton
113.39,38.38,38.6,22.2,77.47,5.86,98.81,cotton
99.95,48.51,45.31,24.15,77.84,7.57,96.82,cotton
99.9,38.07,48.01,29.2,80.86,5.97,71.38,cotton
108.2,47.2,39.61,22.42,83.02,7.02,94.76,cotton
95.93,46.32,49.91,23.22,81.45,6.23,89.57,cotton
96.03,48.14,41.85,20.7,80.96,7.28,97.82,cotton
103.64,45.72,39.92,28.4,82.29,6.3,89.23,cotton
108.85,39.49,44.83,24.44,81.57,7.19,98.96,cotton
98.28,42.33,46.0,25.5,74.99,7.26,68.5,cotton
111.37,40.19,48.17,23.37,84.1,6.37,90.51,cotton
110.26,49.1,42.54,26.99,78.14,6.61,63.06,cotton
115.43,37.95,42.11,26.61,79.23,6.41,75.03,cotton
111.79,41.55,47.93,22.98,85.11,5.92,65.19,cotton
105.78,49.11,45.88,26.32,81.95,7.52,81.97,cotton
107.06,37.53,47.15,26.64,76.63,6.66,95.14,cotton
103.94,42.08,42.05,29.65,77.5,7.57,76.23,cotton
107.35,38.83,48.34,23.75,76.41,6.02,72.16,cotton
109.36,41.42,47.5,24.63,77.89,6.08,88.54,cotton
101.91,44.28,43.09,19.96,77.49,7.68,68.26,cotton
108.82,42.08,38.72,28.07,79.25,7.3,77.27,cotton
101.27,47.86,47.81,29.57,77.17,6.05,100.74,cotton
115.59,42.87,46.22,21.45,76.45,6.55,97.04,cotton
117.87,35.57,45.95,20.3,84.86,7.89,87.93,cotton
99.33,45.88,44.2,28.2,75.03,6.61,65.82,cotton
119.48,40.93,49.68,25.76,84.37,6.79,87.25,cotton
112.03,45.7,38.46,25.93,81.87,6.25,89.84,cotton
104.94,40.41,45.31,21.83,76.85,6.51,75.78,cotton
110.93,46.04,45.35,23.19,85.15,6.93,77.55,cotton
121.06,40.1,42.67,26.43,79.52,6.85,91.7,cotton
107.02,41.61,43.77,23.59,79.93,7.28,97.9,cotton
101.24,43.19,44.78,30.19,80.34,7.57,73.99,cotton
97.8,37.46,46.57,21.08,80.43,8.03,93.49,cotton
96.57,41.26,49.23,29.84,79.35,6.28,70.99,cotton
112.75,41.3,39.4,29.59,84.27,6.65,88.53,cotton
95.06,46.81,39.84,27.35,83.22,7.11,81.36,cotton
104.47,41.52,44.74,27.14,77.85,7.89,68.86,cotton
114.16,40.3,44.23,25.49,75.72,7.15,92.01,cotton
106.24,48.14,46.21,20.29,84.68,7.69,93.28,cotton
115.4,41.89,42.48,28.94,82.78,7.66,68.62,cotton
113.32,42.77,49.46,28.19,84.92,5.78,97.99,cotton
116.09,40.06,44.32,25.38,75.09,5.89,67.37,cotton
112.11,46.72,41.82,25.7,82.63,6.22,95.44,cotton
111.06,47.13,50.35,28.7,81.12,6.25,89.81,cotton
96.23,48.11,39.73,27.33,78.69,7.58,72.93,cotton
102.64,46.23,45.83,23.35,79.62,7.91,91.27,cotton
113.02,45.2,45.45,21.0,76.85,7.32,95.7,cotton
114.51,39.95,49.18,21.83,79.15,7.39,71.52,cotton
113.86,44.5,44.71,27.1,82.65,5.96,82.74,cotton
110.45,44.19,43.25,23.04,75.36,5.77,61.49,cotton
112.23,46.2,45.14,22.39,83.64,7.16,68.26,cotton
101.05,49.39,40.67,23.2,78.91,6.54,97.31,cotton
106.76,42.86,49.93,28.96,82.26,6.52,89.22,cotton
97.59,43.99,47.04,21.53,75.07,6.13,61.35,cotton
114.56,39.86,40.47,23.68,81.08,6.36,63.41,cotton
95.31,48.71,49.68,21.9,81.89,5.95,77.17,cotton
108.93,40.58,42.62,23.02,77.91,7.18,70.74,cotton
106.2,43.77,42.61,24.52,79.05,7.32,86.74,cotton
103.72,48.29,48.46,24.16,76.64,7.28,85.68,cotton
106.95,44.99,43.99,23.97,76.65,6.76,99.93,cotton
114.68,43.86,50.17,25.4,77.18,7.49,87.58,cotton
111.87,45.63,38.2,21.0,80.71,5.89,75.43,cotton
98.79,40.1,45.15,28.45,81.27,6.89,89.57,cotton
117.69,47.87,46.74,20.64,77.92,6.12,75.42,cotton
103.95,44.71,43.39,26.19,82.22,7.09,76.24,cotton
113.64,42.88,44.58,22.41,81.26,7.75,84.31,cotton
119.1,41.52,41.64,22.06,80.39,6.59,90.7,cotton
